           2           0         212         215
           3           0         236         188
           4           0         223         202
           5           0         207         241
           6           0         233         213
           7           0         229         193
           8           0         239         203
           9           0         229         198
          10           0         236         217
          11           0         233         187
          12           0         229         210
          13           0         195         189
          14           0         216         206
          15           0         226         192
          16           0         229         208
          17           0         246         240
          18           0         220         218
          19           0         238         208
          20           0         230         194
          21           0         224         214
          22           0         235         199
          23           0         217         212
          24           0         257         216
          25           0         216         205
          26           0         250         197
          27           0         247         192
          28           0         204         219
          29           0         213         219
          30           0         240         206
          31           0         209         234
          32           0         225         201
          33           0         202         183
          34           0         211         249
          35           0         226         196
          36           0         226         253
          37           0         244         191
          38           0         225         227
          39           0         244         197
          40           0         230         224
          41           0         248         216
          42           0         235         222
          43           0         206         214
          44           0         233         216
          45           0         226         216
          46           0         256         200
          47           0         229         159
          48           0         224         229
          49           0         259         233
          50           0         193         256
          51           0         241         192
          52           0         203         215
          53           0         235         193
          54           0         254         196
          55           0         223         211
          56           0         263         216
          57           0         215         216
          58           0         202         188
          59           0         246         188
          60           0         195         216
          61           0         217         199
          62           0         222         217
          63           0         230         199
          64           0         241         205
          65           0         224         218
          66           0         259         213
          67           0         220         211
          68           0         224         203
          69           0         243         203
          70           0         223         228
          71           0         233         207
          72           0         215         226
          73           0         233         217
          74           0         205         182
          75           0         224         172
          76           0         244         208
          77           0         234         219
          78           0         218         221
          79           0         208         193
          80           0         251         194
          81           0         212         229
          82           0         235         211
          83           0         233         213
          84           0         257         188
          85           0         201         207
          86           0         267         231
          87           0         225         206
          88           0         235         186
          89           0         240         233
          90           0         199         183
          91           0         202         213
          92           0         216         195
          93           0         242         216
          94           0         240         207
          95           0         225         220
          96           0         221         206
          97           0         241         223
          98           0         249         188
          99           0         221         188
         100           0         199         217
         101           0         206         225
         102           0         230         189
         103           0         243         219
         104           0         219         207
         105           0         235         238
         106           0         215         213
         107           0         221         227
         108           0         204         207
         109           0         218         212
         110           0         242         215
         111           0         240         207
         112           0         210         213
         113           0         242         188
         114           0         237         220
         115           0         245         201
         116           0         225         203
         117           0         217         223
         118           0         239         210
         119           0         225         209
         120           0         227         235
         121           0         204         212
         122           0         235         197
         123           0         225         196
         124           0         221         218
         125           0         286         224
         126           0         239         204
         127           0         224         211
         128           0         237         205
         129           0         240         238
         130           0         206         199
         131           0         211         198
         132           0         233         203
         133           0         232         191
         134           0         223         190
         135           0         220         197
         136           0         245         195
         137           0         215         186
         138           0         239         211
         139           0         216         209
         140           0         207         194
         141           0         224         201
         142           0         220         181
         143           0         224         221
         144           0         240         189
         145           0         227         195
         146           0         224         235
         147           0         211         213
         148           0         239         197
         149           0         242         208
         150           0         197         222
         151           0         243         186
         152           0         212         196
         153           0         225         231
         154           0         216         201
         155           0         222         175
         156           0         229         191
         157           0         215         206
         158           0         247         197
         159           0         257         191
         160           0         222         174
         161           0         199         206
         162           0         213         202
         163           0         217         211
         164           0         241         209
         165           0         221         178
         166           0         251         227
         167           0         221         220
         168           0         218         199
         169           0         218         220
         170           0         235         199
